Project,Total run,Failure,Error,Skipped,Failed,Commit
jackson-dataformat-xml,212,0,0,0,,7a06666977f99a6f5bd6820e7890d7b2cd8ad635
jackson-dataformat-xml,158,0,4,0,"['SimpleStringValuesTest.testStringArrayWithAttribute', 'SimpleStringValuesTest.testEmptyElementToString', 'SimpleStringValuesTest.testStringWithAttribute', 'SimpleStringValuesTest.testStringsWithAttribute']",7ac573b077529036c7d396ff776a571f3ed1a2a3
jackson-dataformat-xml,196,0,0,0,,7c100891082fa3ee9db8b66b4c277c25f55edfdd
jackson-dataformat-xml,132,0,0,0,,7c7e8c9b18ee0ed8bc2a0275079c883f2d7d3410
jackson-dataformat-xml,143,0,0,0,,7d2255fa1f8706cede211c00622cd8be1a18b764
jackson-dataformat-xml,132,0,0,0,,7d24a77965460f8a6a3f61b3c9b49843e0e1def9
jackson-dataformat-xml,197,0,0,0,,7d7a3b0aba255389d199980dfe80b49927838057
jackson-dataformat-xml,196,0,0,0,,7d9ff0ccf568b5f75327aa0479903ab7db2a1245
jackson-dataformat-xml,149,0,0,0,,7df1d649cbcc2a6c7650c7f301c54fb138f66883
jackson-dataformat-xml,143,0,0,0,,7ebf8cdc26db1630e65f36895a93105850607853
jackson-dataformat-xml,142,0,0,0,,7ec72fcd448887cf8b6205fad4f5fd1e84fa07aa
jackson-dataformat-xml,264,0,0,0,,7fdb1a43c78c54baa12271c98ff0d98e44d9c969
jackson-dataformat-xml,178,0,0,0,,800972950c358ef2f1e7d6fc80682ec322234a46
jackson-dataformat-xml,178,0,0,0,,801b4690889a0baf1dd34e05da215a829a3b9b92
jackson-dataformat-xml,201,0,0,0,,80dfd57d6a0d132efb4d05dc6baba24d40d3a9dd
jackson-dataformat-xml,183,0,0,0,,81bcf121b935d58e947c5e75f78d2d254cce3482
jackson-dataformat-xml,134,0,0,0,,8219b019f92fb853e21a1d6ed586b57097492307
jackson-dataformat-xml,196,0,0,0,,83c5c723a080f5a11b2ab752fe6e7955374a9abd
jackson-dataformat-xml,133,0,0,0,,84ec2569d898fe60b7c99607117de3289231ce5f
jackson-dataformat-xml,197,0,0,0,,85823f4f6bfce5f9d8ab3632f1fe1e3b02e6c2fe
jackson-dataformat-xml,197,0,0,0,,85a7f1025bc3208291bdb4dafd864a838006c14c
jackson-dataformat-xml,132,0,0,0,,868a359d5ad568b163ce95a2bee998c496c74150
jackson-dataformat-xml,140,0,0,0,,873cc16fd46886dd8fe79e9ca6205406f6f94d22
jackson-dataformat-xml,140,0,0,0,,87ce6e29f83d39d3a44e0d543663fac48cd97d68
jackson-dataformat-xml,183,0,0,0,,882b42c36945dcb53d184ac6a38b12a39f8dc6df
jackson-dataformat-xml,128,0,0,0,,8894574acf500e9d95665de76632b664e4cd8a30
jackson-dataformat-xml,205,0,0,0,,88d53ec464e0bc71b60024b5ccf2ef1ef09fe7fa
jackson-dataformat-xml,136,0,0,0,,89065364ba7b0371203bf96d1e16404b3b0c533f
jackson-dataformat-xml,168,0,0,0,,8aa276ba6b2092a562195f9a94eb562686a3352c
jackson-dataformat-xml,132,0,0,0,,8ae3e6f44b8600c3d884753c30bc55fcdb6271d4
jackson-dataformat-xml,132,0,0,0,,8b16fc084216864c8b9ebeeaef2174df7d3f4222
jackson-dataformat-xml,201,0,0,0,,8b884bb5cd913a5578c349f79c0a4ebe4e3c56d5
jackson-dataformat-xml,132,0,0,0,,8bb0ad312987a2bf839d3fa1dcab3e3fcf4bdbbc
jackson-dataformat-xml,197,0,0,0,,8d18b782d9e99d35b3260b51a5de8012c8bfd4e1
jackson-dataformat-xml,157,0,0,0,,8de0cad692eaf99aa28ff19a276c5021cc696b42
jackson-dataformat-xml,132,0,0,0,,8fbd2da9b2be6a1d76bc6e0d6d5a85841ddd978e
jackson-dataformat-xml,183,0,0,0,,8fd9463dad8d2232c1e947403ead465d6a3e5f73
jackson-dataformat-xml,131,0,0,0,,90da6860daec7f5fe064fd78a3ee3b58996ed79f
jackson-dataformat-xml,263,0,0,0,,90ec18fbae62bdc1bd8d712591b51270419176bf
jackson-dataformat-xml,133,0,0,0,,91067db79930b61aa63ea4fb3aca143c276eec69
jackson-dataformat-xml,137,0,0,0,,91a72d253ad0c84b40937b264131b6c877e5fd0b
jackson-dataformat-xml,137,0,0,0,,91fa811f9f52928554fff5c843f7da0a09bb0c22
jackson-dataformat-xml,140,0,0,0,,935088bab2d32954e7bc68769976d3b69531f706
jackson-dataformat-xml,139,0,0,0,,9382b8113f1f1d5f85309f2859ae5f0ced0ae240
jackson-dataformat-xml,143,0,0,0,,93e5e247a485bb56483647934a9bf89c11ef2c46
jackson-dataformat-xml,185,0,0,0,,944835d6bbeb8a0e1651c6db84dfdd594e019e8a
jackson-dataformat-xml,185,0,0,0,,95ce0c981ddfdf5a611bd5f2f0de6245a3cfb020
jackson-dataformat-xml,154,0,0,0,,95e4b9a6fca43bab2db28323e6509bb670075ee1
jackson-dataformat-xml,143,0,0,0,,96004cd4fbffec5493d9017dc6cd60fa3bbb2caa
jackson-dataformat-xml,213,0,0,0,,960ef7d8ceca0600085a9763635a70c7b587c087
jackson-dataformat-xml,137,0,0,0,,96da0d3246f1435199470d261a74596012e40d9f
jackson-dataformat-xml,150,0,0,0,,96f60502dddaceb872f625e52d158dee422a9f0b
jackson-dataformat-xml,199,0,0,0,,97141026522bef2de07d1c9cc083e215b4750c00
jackson-dataformat-xml,213,0,0,0,,975742d5047921c398f1183ada3bc6b5afa49a52
jackson-dataformat-xml,183,0,0,0,,977d5e30af489962b8cc540c82c9f334c6f878b4
jackson-dataformat-xml,128,0,0,0,,97956deec331a7c714bc2fcc744c327c98956cd9
jackson-dataformat-xml,201,0,0,0,,97c9e58c700625dbde450d9ab1d202415038d634
jackson-dataformat-xml,150,0,0,0,,97f8b93a16af74089c79f20baa84d9d358d64149
jackson-dataformat-xml,128,0,0,0,,989f57a833a4177df6c8d852e806d41ffa8c79a2
jackson-dataformat-xml,141,0,0,0,,98a9ff25a121e0129ac8b068b7b8ac97b8b35495
jackson-dataformat-xml,166,0,0,0,,9951c4362aefa7a86c29a81d6da3932ac797f03b
jackson-dataformat-xml,132,0,0,0,,99a34748a91fc19d5f1f24999fef93269ec525c7
jackson-dataformat-xml,132,0,0,0,,99abd4b9445137d7fb73e551138c8926226fc91e
jackson-dataformat-xml,197,0,0,0,,99c4423ef3b342665012f6681593877ef2e9ecce
jackson-dataformat-xml,201,0,0,0,,99ea14cdd7172a615721db5ede09dd1a2fca2653
jackson-dataformat-xml,137,0,0,0,,9a39d6655bdc7fac4c6e6a5a4f9b5d743b0f3696
jackson-dataformat-xml,190,0,0,0,,9a41244a698e1a4cb16b5682c513598cd3ee4807
